Date,Actual,Forecast,Previous
"Sep 21, 2010",<0.25%,<0.25%,<0.25%
"Aug 10, 2010",<0.25%,<0.25%,<0.25%
"Jun 23, 2010",<0.25%,<0.25%,<0.25%
"Apr 28, 2010",<0.25%,<0.25%,<0.25%
"Mar 16, 2010",<0.25%,<0.25%,<0.25%
"Jan 27, 2010",<0.25%,<0.25%,<0.25%
"Dec 16, 2009",<0.25%,<0.25%,<0.25%
"Nov 4, 2009",<0.25%,<0.25%,<0.25%
"Sep 23, 2009",<0.25%,<0.25%,<0.25%
"Aug 12, 2009",<0.25%,<0.25%,<0.25%
"Jun 24, 2009",<0.25%,<0.25%,<0.25%
"Apr 29, 2009",<0.25%,<0.25%,<0.25%
"Mar 18, 2009",<0.25%,<0.25%,<0.25%
"Jan 28, 2009",<0.25%,<0.25%,<0.25%
"Dec 16, 2008",<0.25%,0.50%,1.00%
"Oct 29, 2008",1.00%,1.00%,1.50%
"Oct 8, 2008",1.50%,,2.00%
"Sep 16, 2008",2.00%,2.00%,2.00%
"Aug 5, 2008",2.00%,2.00%,2.00%
"Jun 25, 2008",2.00%,2.00%,2.00%
"Apr 30, 2008",2.00%,2.00%,2.25%
"Mar 18, 2008",2.25%,2.25%,3.00%
"Jan 30, 2008",3.00%,3.00%,3.50%
"Jan 22, 2008",3.50%,,4.25%
"Dec 11, 2007",4.25%,4.25%,4.50%
"Oct 31, 2007",4.50%,4.50%,4.75%
"Sep 18, 2007",4.75%,5.00%,5.25%
"Aug 7, 2007",5.25%,5.25%,5.25%
"Jun 28, 2007",5.25%,5.25%,5.25%
"May 9, 2007",5.25%,5.25%,5.25%
"Mar 21, 2007",5.25%,5.25%,5.25%
"Jan 31, 2007",5.25%,5.25%,5.25%
